id_med;nome;preco;lab;uni_emb;formato;dosagem;quantidade;;;;
5570825;Perindopril + Indapamida Mepha;4,67;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;30;Comp. revest. p/ película;5 mg + 1.25 mg;0;;;;
5570536;Perindopril Teva;8,24;Teva Pharma - Produtos Farmacêuticos, Lda.;30;Comp. revest. p/ película;10 mg;0;;;;
5669759;Tramadol + Paracetamol Aristo;3,68;Aristo Pharma Iberia, SL;20;Comp. efervescente;37.5 mg + 325 mg;0;;;;
5608153;Perindopril + Indapamida Mepha;2,77;Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.;14;Comp. revest. p/ película;2.5 mg + 0.625 mg;0;;;;
5571930;Perindopril Teva;2,58;Teva Pharma - Produtos Farmacêuticos, Lda.;10;Comp. revest. p/ película;5 mg;0;;;;
5080916;Ropinirol Mylan;11,15;Mylan, Lda.;84;Comp. revest. p/ película;0.5 mg;0;;;;
5080924;Ropinirol Mylan;18,36;Mylan, Lda.;84;Comp. revest. p/ película;1 mg;0;;;;
5080932;Ropinirol Mylan;20,52;Mylan, Lda.;84;Comp. revest. p/ película;2 mg;0;;;;
5080940;Ropinirol Mylan;49,95;Mylan, Lda.;84;Comp. revest. p/ película;5 mg;0;;;;
3759396;Tramadol Generis 100 mg/ml Solução Oral;3,58;Generis Farmacêutica, S.A.;10;Gotas orais, sol.;100 mg/ml;0;;;;
5571443;Mometasona Generis;9;Generis Farmacêutica, S.A.;140;Susp. p. pulv. nasal;50 µg/dose;0;;;;
5184528;Micofenolato de Mofetil Accord;145,47;Accord Healthcare Limited;150;Comp. revest. p/ película;500 mg;0;;;;
5482005;Micofenolato de Mofetil Aristo;136,38;Aristo Pharma Iberia, SL;150;Comp. revest. p/ película;500 mg;0;;;;
5279203;Denille;22,9;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;126;Comp. revest. p/ película;2 mg + 0.03 mg;0;;;;
5232608;Pramipexol Azevedos;59,35;Laboratórios Azevedos - Indústria Farmacêutica, S.A.;100;Comp.;0.7 mg;0;;;;
5097068;Myfenax;53,94;Teva B.V.;100;Cáps.;250 mg;0;;;;
5625371;Levodopa + Carbidopa + Entacapona Generis;42,42;Generis Farmacêutica, S.A.;100;Comp. revest. p/ película;100 mg + 25 mg + 200 mg;0;;;;
5625439;Levodopa + Carbidopa + Entacapona Generis;45,31;Generis Farmacêutica, S.A.;100;Comp. revest. p/ película;150 mg + 37.5 mg + 200 mg;0;;;;
5563937;Pramipexol Aurobindo;56,72;Generis Farmacêutica, S.A.;100;Comp.;0.7 mg;0;;;;
5481957;Micofenolato de Mofetil Aristo;46,87;Aristo Pharma Iberia, SL;100;Cáps.;250 mg;0;;;;
5642665;Levodopa + Carbidopa + Entacapona Ratiopharm;47,54;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;100;Comp. revest. p/ película;125 mg + 31.25 mg + 200 mg;0;;;;
5642673;Levodopa + Carbidopa + Entacapona Ratiopharm;45,31;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;100;Comp. revest. p/ película;150 mg + 37.5 mg + 200 mg;0;;;;
5642616;Levodopa + Carbidopa + Entacapona Ratiopharm;46,51;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;100;Comp. revest. p/ película;75 mg + 18.75 mg + 200 mg;0;;;;
5642657;Levodopa + Carbidopa + Entacapona Ratiopharm;42,42;Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.;100;Comp. revest. p/ película;100 mg + 25 mg + 200 mg;0;;;;
5678875;Zonisamida Mylan;58,28;Mylan SAS;98;Cáps.;100 mg;0;;;;
5676267;Zonisamida Pentafarma;53,69;Pentafarma - Sociedade Técnico-Medicinal, S.A.;98;Cáps.;100 mg;0;;;;
5665146;Zonisamida Tolife;53,7;ToLife - Produtos Farmacêuticos, S.A.;98;Cáps.;100 mg;0;;;;
5147038;Ropinirol Cinfa;20,52;Cinfa Portugal,Lda.;84;Comp. revest. p/ película;2 mg;0;;;;
5147004;Ropinirol Cinfa;12,17;Cinfa Portugal,Lda.;84;Comp. revest. p/ película;1 mg;0;;;;
5178868;Ropinirol Teva;17,82;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Comp. revest. p/ película;1 mg;0;;;;
5178900;Ropinirol Teva;20,51;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Comp. revest. p/ película;2 mg;0;;;;
5303961;Drosurall;11;Laboratórios EFFIK, Sociedade Unipessoal, Lda.;84;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5244702;Ropinirol Generis Phar;9,95;Generis Phar - Promoção de Medicamentos, Unip. Lda.;84;Comp. revest. p/ película;0.5 mg;0;;;;
5244942;Ropinirol Generis Phar;49,95;Generis Phar - Promoção de Medicamentos, Unip. Lda.;84;Comp. revest. p/ película;5 mg;0;;;;
5244801;Ropinirol Generis Phar;20,52;Generis Phar - Promoção de Medicamentos, Unip. Lda.;84;Comp. revest. p/ película;2 mg;0;;;;
5244744;Ropinirol Generis Phar;17,83;Generis Phar - Promoção de Medicamentos, Unip. Lda.;84;Comp. revest. p/ película;1 mg;0;;;;
5317508;Azalia;9,44;Gedeon Richter, Plc.;84;Comp. revest. p/ película;0.075 mg;0;;;;
5352877;Desogestrel Aurovitas;9,35;Generis Farmacêutica, S.A.;84;Comp. revest. p/ película;0.075 mg;0;;;;
5411517;Ropinirol Teva;43,05;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Comp. libert. prolong.;4 mg;0;;;;
5411541;Ropinirol Teva;74,98;Teva Pharma - Produtos Farmacêuticos, Lda.;84;Comp. libert. prolong.;8 mg;0;;;;
5370176;Daylette;9,85;Gedeon Richter, Plc.;84;Comp. revest. p/ película;3 mg + 0.02 mg;0;;;;
5397930;Ropinirol KrKa;43,05;KRKA Farmacêutica, Sociedade Unipessoal, Lda.;84;Comp. libert. prolong.;4 mg;0;;;;
5397948;Ropinirol KrKa;74,98;KRKA Farmacêutica, Sociedade Unipessoal, Lda.;84;Comp. libert. prolong.;8 mg;0;;;;
